CA,TRIGGERTIME,INCIDENTTYPE,NUMSHOTS,LATITUDE,LONGITUDE
7D,2017-03-23 23:41:19.333,Multiple Gunshots,6,38.819,-76.998
6D,2017-03-23 22:31:21.847,Single Gunshot,1,38.885,-76.924
6D,2017-03-23 21:02:49.687,Multiple Gunshots,8,38.893,-76.925
7D,2017-03-23 20:08:32.233,Multiple Gunshots,7,38.853,-76.971
7D,2017-03-23 18:19:13.447,Multiple Gunshots,3,38.849,-76.972
6D,2017-03-23 13:35:42.123,Multiple Gunshots,3,38.896,-76.927
7D,2017-03-23 06:35:37.310,Single Gunshot,1,38.856,-76.969
6D,2017-03-23 04:09:04.477,Multiple Gunshots,13,38.885,-76.959
7D,2017-03-23 03:13:40.067,Multiple Gunshots,7,38.843,-76.984
7D,2017-03-23 00:16:20.590,Multiple Gunshots,2,38.847,-76.976
6D,2017-03-22 22:24:46.597,Single Gunshot,1,38.899,-76.945
7D,2017-03-22 19:48:16.927,Multiple Gunshots,6,38.844,-76.978
7D,2017-03-22 18:13:37.497,Single Gunshot,1,38.843,-76.986
6D,2017-03-22 17:24:11.747,Single Gunshot,1,38.872,-76.982
5D,2017-03-22 14:28:37.910,Gunshot/Firework,1,38.908,-77.011
6D,2017-03-22 09:18:17.707,Gunshot/Firework,1,38.891,-76.953
6D,2017-03-22 06:31:40.117,Multiple Gunshots,8,38.89,-76.914
7D,2017-03-22 04:06:30.483,Multiple Gunshots,10,38.868,-76.977
7D,2017-03-22 03:29:20.320,Multiple Gunshots,6,38.852,-77.006
7D,2017-03-22 03:28:15.540,Multiple Gunshots,3,38.844,-77.007
4D,2017-03-22 02:00:45.800,Single Gunshot,1,38.944,-77.014
6D,2017-03-22 01:52:49.623,Single Gunshot,1,38.883,-76.951
6D,2017-03-22 01:44:33.710,Single Gunshot,1,38.884,-76.946
7D,2017-03-22 01:15:59.967,Multiple Gunshots,4,38.855,-76.969
7D,2017-03-21 23:46:11.903,Multiple Gunshots,2,38.848,-76.975
6D,2017-03-21 23:44:23.780,Multiple Gunshots,12,38.865,-76.977
7D,2017-03-21 23:44:22.973,Multiple Gunshots,10,38.865,-76.977
5D,2017-03-21 23:42:38.563,Single Gunshot,1,38.922,-76.968
6D,2017-03-21 22:57:54.497,Multiple Gunshots,5,38.893,-76.949
7D,2017-03-21 22:22:10.527,Multiple Gunshots,4,38.834,-76.985
6D,2017-03-21 21:00:59.067,Multiple Gunshots,8,38.889,-76.951
6D,2017-03-21 21:00:49.147,Multiple Gunshots,17,38.89,-76.954
7D,2017-03-21 19:54:47.617,Multiple Gunshots,6,38.829,-77.004
7D,2017-03-21 19:54:40.313,Single Gunshot,1,38.827,-77.005
7D,2017-03-21 15:47:16.563,Multiple Gunshots,5,38.837,-76.989
7D,2017-03-21 02:27:53.703,Single Gunshot,1,38.834,-77.004
3D,2017-03-21 01:57:19.120,Multiple Gunshots,2,38.919,-77.016
5D,2017-03-21 01:57:19.120,Multiple Gunshots,3,38.919,-77.016
3D,2017-03-21 01:57:01.243,Single Gunshot,1,38.918,-77.016
5D,2017-03-21 01:57:01.243,Single Gunshot,1,38.918,-77.016
3D,2017-03-21 01:56:45.643,Single Gunshot,1,38.918,-77.017
6D,2017-03-21 01:54:45.637,Multiple Gunshots,4,38.885,-76.954
6D,2017-03-21 01:09:19.287,Multiple Gunshots,6,38.882,-76.938
6D,2017-03-20 23:06:19.880,Multiple Gunshots,9,38.886,-76.951
7D,2017-03-20 23:03:23.300,Multiple Gunshots,2,38.844,-76.978
6D,2017-03-20 22:36:00.637,Single Gunshot,1,38.891,-76.914
