Enrollment,NAME
395,Moten Elementary School
404,Mundo Verde Bilingual PCS
620,Murch Elementary School
384,Nalle Elementary School
306,National Collegiate Preparatory Public Charter High School
289,Noyes Elementary School
268,Options PCS
384,Orr Elementary School
650,Oyster-Adams Bilingual School (Adams)
380,Patterson Elementary School
325,Paul PCS - International High School
376,Paul PCS - Middle School
277,Payne Elementary School
227,Peabody Elementary School
619,Perry Street Preparatory PCS
323,"Phelps Architecture, Construction, and Engineering High School"
428,Plummer Elementary School
425,Potomac Preparatory PCS
446,Powell Elementary School
360,Randle Highlands Elementary School
581,Raymond Education Campus
305,Richard Wright PCS for Journalism and Media Arts
476,Roosevelt High School
95,Roots PCS
166,Ross Elementary School
408,Savoy Elementary School
248,School-Within-School @ Goding
590,School Without Walls High School
295,Seaton Elementary School
86,Sela PCS
318,Shepherd Elementary School
118,Shining Stars Montessori Academy PCS
293,Simon Elementary School
275,Smothers Elementary School
240,Somerset Preparatory Academy PCS
284,Sousa Middle School
252,St. Coletta Special Education PCS
578,Stanton Elementary School
418,Stoddert Elementary School
423,Stuart-Hobson Middle School
442,Takoma Education Campus
363,Next Step PCS
408,Thomas Elementary School
272,Thomson Elementary School
395,Thurgood Marshall Academy PCS
526,Truesdell Education Campus
498,Tubman Elementary School
392,Turner Elementary School
518,Two Rivers PCS at 4th Street
522,Tyler Elementary School
304,Washington Latin PCS – Upper School
366,Washington Latin PCS – Middle School
335,Washington Mathematics Science Technology PCHS
528,Washington Yu Ying PCS
500,Watkins Elementary School
267,West Education Campus
350,Whittier Education Campus
1788,Wilson High School
639,Woodson High School
112,YouthBuild PCS (LAYC)
