Median_Hou,OBJECTID
48000.0,415
104844.0,416
53417.0,417
32794.0,418
101250.0,419
128289.0,420
42679.0,421
82621.0,422
59152.0,423
115042.0,424
-100.0,425
29286.0,426
64500.0,427
41655.0,428
85116.0,429
55341.0,430
46875.0,431
-100.0,432
91908.0,433
74779.0,434
0.0,435
82868.0,436
130144.0,437
125025.0,438
114162.0,439
88419.0,440
113983.0,441
27978.0,442
79063.0,443
31607.0,444
31528.0,445
30363.0,446
41042.0,447
65521.0,448
33205.0,449
26375.0,450
