N_Name,cfl_index,OBJECTID
Dupont Circle Connecticut Avenue/K Street,79.83,62
Howard University Le Droit Park Cardozo/Shaw,80.58,63
Howard University Le Droit Park Cardozo/Shaw,89.99,64
Edgewood Bloomingdale Truxton Circle Eckington,75.81,65
Downtown Chinatown Penn MV Square N Capitol St,72.29,66
Downtown Chinatown Penn MV Square N Capitol St,74.91,67
Shaw Logan Circle,79.4,68
Shaw Logan Circle,69.93,69
Shaw Logan Circle,82.13,70
Shaw Logan Circle,80.2,71
Shaw Logan Circle,76.75,72
Shaw Logan Circle,84.08,73
Shaw Logan Circle,92.14,74
Dupont Circle Connecticut Avenue/K Street,84.07,75
Dupont Circle Connecticut Avenue/K Street,93.2,76
West End Foggy Bottom GWU,84.23,77
Downtown Chinatown Penn MV Square N Capitol St,96.85,78
Downtown Chinatown Penn MV Square N Capitol St,91.53,79
Southwest/Waterfront Fort McNair Buzzard Point,55.25,80
Capitol Hill Lincoln Park,79.19,81
Capitol Hill Lincoln Park,72.57,82
Capitol Hill Lincoln Park,64.76,83
Capitol Hill Lincoln Park,55.88,84
Capitol Hill Lincoln Park,57.33,85
Capitol Hill Lincoln Park,49.12,86
Capitol Hill Lincoln Park,65.34,87
Capitol Hill Lincoln Park,80.64,88
Near Southeast Navy Yard,66.06,89
Near Southeast Navy Yard,82.79,90
Congress Heights Bellevue Washington Highlands,40.2,91
Sheridan Barry Farm Buena Vista,45.4,92
Douglass Shipley Terrace,40.2,93
Douglass Shipley Terrace,41.31,94
Sheridan Barry Farm Buena Vista,36.75,95
Sheridan Barry Farm Buena Vista,42.19,96
Woodland/Fort Stanton Garfield Heights Knox Hill,39.14,97
Douglass Shipley Terrace,40.92,98
Woodland/Fort Stanton Garfield Heights Knox Hill,41.44,99
Historic Anacostia,56.1,100
Historic Anacostia,40.08,101
Twining Fairlawn Fort Davis Park Dupont Park,56.5,102
Fairfax Village Hillcrest Summit Park,39.85,103
Fairfax Village Hillcrest Summit Park,46.97,104
Twining Fairlawn Fort Davis Park Dupont Park,41.73,105
River Terrace Benning Greenway Fort Dupont,44.13,106
Capitol View Marshall Heights Benning Heights,35.09,107
River Terrace Benning Greenway Fort Dupont,39.49,108
Twining Fairlawn Fort Davis Park Dupont Park,40.15,109
Mayfair Hillbrook Mahaning Heights,55.92,110
Deanwood Burrville Lincoln Heights,38.29,111
Deanwood Burrville Lincoln Heights,40.74,112
Deanwood Burrville Lincoln Heights,29.52,113
