N_Name,Temp_STD,OBJECTID
Congress Heights Bellevue Washington Highlands,0.35065,157
Congress Heights Bellevue Washington Highlands,0.873519,158
Congress Heights Bellevue Washington Highlands,0.038167,159
Congress Heights Bellevue Washington Highlands,0.658177,160
Congress Heights Bellevue Washington Highlands,1.304529,161
Twining Fairlawn Fort Davis Park Dupont Park,-1.939021,162
Twining Fairlawn Fort Davis Park Dupont Park,-1.83002,163
Capitol View Marshall Heights Benning Heights,0.687293,164
Capitol View Marshall Heights Benning Heights,0.884478,165
Capitol View Marshall Heights Benning Heights,0.610591,166
Capitol View Marshall Heights Benning Heights,0.25647,167
Capitol View Marshall Heights Benning Heights,-0.402636,168
Downtown Chinatown Penn MV Square N Capitol St,0.219375,169
Southwest/Waterfront Fort McNair Buzzard Point,0.372121,170
Takoma Brightwood Manor Park,-0.239509,171
Congress Heights Bellevue Washington Highlands,-0.381089,172
Southwest/Waterfront Fort McNair Buzzard Point,0.689765,173
NoMa Union Station Stanton Park Kingman Park,1.103031,174
Dupont Circle Connecticut Avenue/K Street,0.24409,175
West End Foggy Bottom GWU,0.174427,176
Southwest/Waterfront Fort McNair Buzzard Point,-0.607298,178
Woodridge Fort Lincoln Gateway,0.465819,179
