N_Name,P_BUS,PP_BUS,GEOID
Woodridge Fort Lincoln Gateway,0.090742,9.1,11001011100
Shaw Logan Circle,0.093666,9.4,11001004802
Capitol View Marshall Heights Benning Heights,0.093809,9.4,11001009905
Dupont Circle Connecticut Avenue/K Street,0.095811,9.6,11001004202
Takoma Brightwood Manor Park,0.095842,9.6,11001001702
N Michigan Park Michigan Park University Heights,0.096249,9.6,11001009504
Brookland Brentwood Langdon,0.096892,9.7,11001009302
Edgewood Bloomingdale Truxton Circle Eckington,0.099148,9.9,11001004600
Georgetown Burleith/Hillandale,0.100543,10.1,11001000100
Colonial Village Shepherd Park N Portal,0.102407,10.2,11001001600
Lamond Riggs Fort Totten Pleasant Hill,0.10312,10.3,11001009505
Downtown Chinatown Penn MV Square N Capitol St,0.105124,10.5,11001010100
NoMa Union Station Stanton Park Kingman Park,0.107652,10.8,11001008002
Lamond Riggs Fort Totten Pleasant Hill,0.107926,10.8,11001009507
Capitol View Marshall Heights Benning Heights,0.109357,10.9,11001009903
Spring Valley Palisades Wesley Heights Foxhall,0.112183,11.2,11001000801
Shaw Logan Circle,0.112648,11.3,11001004801
Hawthorne Barnaby Woods Chevy Chase,0.11642,11.6,11001001402
Brightwood Park Crestwood Petworth,0.116424,11.6,11001002400
Congress Heights Bellevue Washington Highlands,0.117939,11.8,11001007304
Downtown Chinatown Penn MV Square N Capitol St,0.118262,11.8,11001004701
Edgewood Bloomingdale Truxton Circle Eckington,0.120281,12.0,11001003301
NoMa Union Station Stanton Park Kingman Park,0.121005,12.1,11001008410
Shaw Logan Circle,0.122799,12.3,11001004902
Woodridge Fort Lincoln Gateway,0.12373,12.4,11001009000
Sheridan Barry Farm Buena Vista,0.124031,12.4,11001007407
Woodridge Fort Lincoln Gateway,0.125,12.5,11001009400
Takoma Brightwood Manor Park,0.127861,12.8,11001001902
Southwest/Waterfront Fort McNair Buzzard Point,0.128874,12.9,11001011000
Edgewood Bloomingdale Truxton Circle Eckington,0.129063,12.9,11001009201
Congress Heights Bellevue Washington Highlands,0.130543,13.1,11001010400
Edgewood Bloomingdale Truxton Circle Eckington,0.13058,13.1,11001008701
NoMa Union Station Stanton Park Kingman Park,0.134978,13.5,11001008100
NoMa Union Station Stanton Park Kingman Park,0.135934,13.6,11001007903
Mayfair Hillbrook Mahaning Heights,0.142955,14.3,11001007803
Brightwood Park Crestwood Petworth,0.1473,14.7,11001002301
Dupont Circle Connecticut Avenue/K Street,0.149669,15.0,11001004201
Brightwood Park Crestwood Petworth,0.15394,15.4,11001002102
Cathedral Heights McLean Gardens Glover Park,0.154991,15.5,11001001002
Shaw Logan Circle,0.159797,16.0,11001005001
Mayfair Hillbrook Mahaning Heights,0.163437,16.3,11001009602
Deanwood Burrville Lincoln Heights,0.164675,16.5,11001007807
Edgewood Bloomingdale Truxton Circle Eckington,0.165027,16.5,11001008702
Congress Heights Bellevue Washington Highlands,0.168473,16.8,11001009700
Deanwood Burrville Lincoln Heights,0.171741,17.2,11001007808
NoMa Union Station Stanton Park Kingman Park,0.177246,17.7,11001007901
Kalorama Heights Adams Morgan Lanier Heights,0.1809,18.1,11001004002
Deanwood Burrville Lincoln Heights,0.183099,18.3,11001007804
Lamond Riggs Fort Totten Pleasant Hill,0.184425,18.4,11001009501
Brightwood Park Crestwood Petworth,0.186485,18.6,11001002201
Capitol View Marshall Heights Benning Heights,0.186992,18.7,11001009907
Brookland Brentwood Langdon,0.188241,18.8,11001009102
NoMa Union Station Stanton Park Kingman Park,0.189566,19.0,11001008402
Georgetown Burleith/Hillandale,0.190406,19.0,11001000300
Ivy City Arboretum Trinidad Carver Langston,0.193833,19.4,11001008802
Spring Valley Palisades Wesley Heights Foxhall,0.194411,19.4,11001000802
Kalorama Heights Adams Morgan Lanier Heights,0.197563,19.8,11001004001
Edgewood Bloomingdale Truxton Circle Eckington,0.198509,19.9,11001003302
Twining Fairlawn Fort Davis Park Dupont Park,0.198811,19.9,11001009902
Twining Fairlawn Fort Davis Park Dupont Park,0.203287,20.3,11001009901
