N_Name,Burglary_3,OBJECTID
Mayfair Hillbrook Mahaning Heights,33,112
Mayfair Hillbrook Mahaning Heights,11,151
N Michigan Park Michigan Park University Heights,36,144
N Michigan Park Michigan Park University Heights,20,145
N Michigan Park Michigan Park University Heights,18,149
Near Southeast Navy Yard,22,90
Near Southeast Navy Yard,5,91
No Cluster,2,37
No Cluster,1,80
No Cluster,0,92
No Cluster,15,177
NoMa Union Station Stanton Park Kingman Park,24,118
NoMa Union Station Stanton Park Kingman Park,14,119
NoMa Union Station Stanton Park Kingman Park,15,120
NoMa Union Station Stanton Park Kingman Park,12,121
NoMa Union Station Stanton Park Kingman Park,6,122
NoMa Union Station Stanton Park Kingman Park,3,123
NoMa Union Station Stanton Park Kingman Park,11,124
NoMa Union Station Stanton Park Kingman Park,7,125
NoMa Union Station Stanton Park Kingman Park,8,126
NoMa Union Station Stanton Park Kingman Park,15,127
NoMa Union Station Stanton Park Kingman Park,25,174
North Cleveland Park Forest Hills Van Ness,11,18
North Cleveland Park Forest Hills Van Ness,1,19
North Cleveland Park Forest Hills Van Ness,3,20
River Terrace Benning Greenway Fort Dupont,37,108
River Terrace Benning Greenway Fort Dupont,42,110
River Terrace Benning Greenway Fort Dupont,9,152
River Terrace Benning Greenway Fort Dupont,9,153
Shaw Logan Circle,33,68
Shaw Logan Circle,10,69
Shaw Logan Circle,18,70
Shaw Logan Circle,4,71
Shaw Logan Circle,9,72
Shaw Logan Circle,1,73
Shaw Logan Circle,24,74
Sheridan Barry Farm Buena Vista,43,94
Sheridan Barry Farm Buena Vista,27,97
Sheridan Barry Farm Buena Vista,23,98
Southwest/Waterfront Fort McNair Buzzard Point,6,81
Southwest/Waterfront Fort McNair Buzzard Point,8,170
Southwest/Waterfront Fort McNair Buzzard Point,8,173
Southwest/Waterfront Fort McNair Buzzard Point,3,178
Spring Valley Palisades Wesley Heights Foxhall,16,11
Spring Valley Palisades Wesley Heights Foxhall,1,12
Spring Valley Palisades Wesley Heights Foxhall,3,13
Spring Valley Palisades Wesley Heights Foxhall,0,14
Takoma Brightwood Manor Park,14,25
Takoma Brightwood Manor Park,6,26
Takoma Brightwood Manor Park,13,27
Takoma Brightwood Manor Park,9,28
Takoma Brightwood Manor Park,10,29
Takoma Brightwood Manor Park,8,171
Twining Fairlawn Fort Davis Park Dupont Park,19,104
Twining Fairlawn Fort Davis Park Dupont Park,18,107
Twining Fairlawn Fort Davis Park Dupont Park,11,111
Twining Fairlawn Fort Davis Park Dupont Park,7,162
Twining Fairlawn Fort Davis Park Dupont Park,15,163
West End Foggy Bottom GWU,20,77
West End Foggy Bottom GWU,10,176
Woodland/Fort Stanton Garfield Heights Knox Hill,11,99
Woodland/Fort Stanton Garfield Heights Knox Hill,24,101
Woodridge Fort Lincoln Gateway,5,135
Woodridge Fort Lincoln Gateway,40,142
Woodridge Fort Lincoln Gateway,49,179
