N_Name,HVI,OBJECTID
Fairfax Village Hillcrest Summit Park,0.443,106
Twining Fairlawn Fort Davis Park Dupont Park,0.616,107
River Terrace Benning Greenway Fort Dupont,0.57,108
Capitol View Marshall Heights Benning Heights,0.627,109
River Terrace Benning Greenway Fort Dupont,0.563,110
Twining Fairlawn Fort Davis Park Dupont Park,0.667,111
Mayfair Hillbrook Mahaning Heights,0.615,112
Deanwood Burrville Lincoln Heights,0.716,113
Deanwood Burrville Lincoln Heights,0.736,114
Deanwood Burrville Lincoln Heights,0.665,115
Deanwood Burrville Lincoln Heights,0.645,116
Deanwood Burrville Lincoln Heights,0.665,117
NoMa Union Station Stanton Park Kingman Park,0.593,118
NoMa Union Station Stanton Park Kingman Park,0.764,119
NoMa Union Station Stanton Park Kingman Park,0.418,120
NoMa Union Station Stanton Park Kingman Park,0.4,121
NoMa Union Station Stanton Park Kingman Park,0.307,122
NoMa Union Station Stanton Park Kingman Park,0.36,123
NoMa Union Station Stanton Park Kingman Park,0.35,124
NoMa Union Station Stanton Park Kingman Park,0.4,125
NoMa Union Station Stanton Park Kingman Park,0.692,126
NoMa Union Station Stanton Park Kingman Park,0.56,127
Edgewood Bloomingdale Truxton Circle Eckington,0.608,128
Edgewood Bloomingdale Truxton Circle Eckington,0.739,129
Ivy City Arboretum Trinidad Carver Langston,0.712,130
Ivy City Arboretum Trinidad Carver Langston,0.734,131
Ivy City Arboretum Trinidad Carver Langston,0.691,132
Ivy City Arboretum Trinidad Carver Langston,0.709,133
Ivy City Arboretum Trinidad Carver Langston,0.729,134
Woodridge Fort Lincoln Gateway,0.652,135
Brookland Brentwood Langdon,0.63,136
Edgewood Bloomingdale Truxton Circle Eckington,0.592,137
Edgewood Bloomingdale Truxton Circle Eckington,0.551,138
Edgewood Bloomingdale Truxton Circle Eckington,0.881,139
Brookland Brentwood Langdon,0.51,140
Brookland Brentwood Langdon,0.625,141
Woodridge Fort Lincoln Gateway,0.504,142
Lamond Riggs Fort Totten Pleasant Hill,0.413,143
N Michigan Park Michigan Park University Heights,0.449,144
N Michigan Park Michigan Park University Heights,0.627,145
Lamond Riggs Fort Totten Pleasant Hill,0.655,146
Lamond Riggs Fort Totten Pleasant Hill,0.698,147
Lamond Riggs Fort Totten Pleasant Hill,0.549,148
N Michigan Park Michigan Park University Heights,0.564,149
Eastland Gardens Kenilworth,0.663,150
Mayfair Hillbrook Mahaning Heights,0.565,151
River Terrace Benning Greenway Fort Dupont,0.695,152
River Terrace Benning Greenway Fort Dupont,0.668,153
Congress Heights Bellevue Washington Highlands,0.71,154
Congress Heights Bellevue Washington Highlands,0.745,155
Congress Heights Bellevue Washington Highlands,0.8,156
Congress Heights Bellevue Washington Highlands,0.751,157
Congress Heights Bellevue Washington Highlands,0.689,158
Congress Heights Bellevue Washington Highlands,0.601,159
Congress Heights Bellevue Washington Highlands,0.629,160
Congress Heights Bellevue Washington Highlands,0.638,161
Twining Fairlawn Fort Davis Park Dupont Park,0.47,162
Twining Fairlawn Fort Davis Park Dupont Park,0.548,163
Capitol View Marshall Heights Benning Heights,0.635,164
Capitol View Marshall Heights Benning Heights,0.61,165
Capitol View Marshall Heights Benning Heights,0.618,166
Capitol View Marshall Heights Benning Heights,0.732,167
Capitol View Marshall Heights Benning Heights,0.54,168
Downtown Chinatown Penn MV Square N Capitol St,0.498,169
Southwest/Waterfront Fort McNair Buzzard Point,0.576,170
Takoma Brightwood Manor Park,0.575,171
Congress Heights Bellevue Washington Highlands,0.523,172
