"","STREETSEGID","freq"
"144",195,12
"145",196,102
"146",197,1
"147",198,685
"148",199,125
"149",202,14
"150",203,2
"151",204,1311
"152",205,6
"153",207,2
"154",208,2
"155",209,695
"156",213,39
"157",214,54
"158",218,111
"159",219,93
"160",220,8
"161",221,25
"162",225,12
"163",226,5
"164",228,208
"165",230,176
"166",231,53
"167",232,111
"168",233,533
"169",234,2
"170",235,5
"171",236,46
"172",237,251
"173",238,14
"174",240,11
"175",241,426
"176",242,125
"177",245,8
"178",246,12
"179",248,194
"180",252,10
"181",253,4997
"182",258,4
"183",259,46
"184",260,13
"185",261,2265
"186",264,7
"187",265,20
"188",266,136
"189",268,2
"190",269,1
"191",271,667
"192",272,2
"193",273,4
"194",274,4
"195",275,16
"196",276,127
"197",277,135
"198",278,44
"199",279,498
"200",281,489
"201",286,15
"202",287,1578
"203",288,847
"204",289,41
"205",290,56
"206",291,97
"207",292,37
"208",295,651
"209",296,57
"210",297,2575
"211",299,11
"212",300,13
"213",302,18
"214",303,4
"215",304,7
"216",306,92
"217",307,84
"218",309,16
"219",310,59
"220",312,417
"221",317,13
"222",319,18
"223",320,177
"224",321,63
"225",322,158
"226",324,25
"227",325,23
"228",326,2
"229",327,5151
"230",331,1
"231",332,4
"232",333,6
"233",334,22
"234",335,1487
"235",336,85
"236",337,145
"237",338,27
"238",339,31
"239",340,10
"240",341,68
"241",342,32
"242",343,132
"243",344,18
"244",345,1572
"245",346,4
"246",347,2
"247",348,562
"248",349,60
"249",350,4
"250",351,87
"251",352,6
"252",353,4
"253",355,228
"254",357,661
"255",358,13
"256",359,15
"257",360,29
"258",361,21
"259",362,25
"260",363,113
"261",365,62
"262",367,8
"263",368,4
"264",370,22
"265",372,55
"266",374,106
"267",375,7
"268",376,20
"269",377,35
"270",380,360
"271",381,18
"272",382,15
"273",384,9
"274",386,211
"275",387,2
"276",388,71
"277",389,42
"278",391,57
"279",392,345
"280",393,727
"281",394,2
"282",395,10
"283",397,70
"284",398,130
"285",399,284
"286",400,1
"287",401,2
"288",402,16
"289",404,712
"290",405,16
"291",409,2
"292",410,6
"293",411,1
"294",413,80
"295",414,2
"296",415,1741
"297",416,199
"298",419,25
"299",421,66
"300",422,2811
"301",425,168
"302",427,32
"303",428,7
"304",431,222
"305",432,4
"306",433,23
"307",440,1
"308",441,17
"309",442,232
"310",444,2
"311",446,2
"312",447,47
"313",449,25
"314",452,38
"315",454,3
"316",457,19
"317",458,107
"318",459,13
"319",460,5
"320",461,110
"321",462,395
"322",464,198
"323",465,2
"324",466,7
"325",467,40
"326",468,138
"327",469,8
"328",470,4
"329",471,1220
"330",472,14
"331",474,95
"332",475,53
"333",477,30
"334",478,3
"335",479,75
"336",480,4
"337",481,170
"338",483,6
"339",484,2
"340",485,1
"341",486,1
"342",487,23
"343",488,2884
"344",490,47
"345",491,493
"346",492,317
"347",494,383
"348",496,18
"349",497,540
"350",498,15
"351",499,332
"352",502,5
"353",503,2
"354",504,150
"355",506,8
"356",508,30
"357",509,4
"358",510,4
"359",511,613
"360",513,6
"361",514,43
"362",515,362
"363",521,4
"364",523,10
"365",525,12
"366",526,573
"367",527,249
"368",528,3058
"369",529,4
"370",530,14
"371",531,197
"372",532,147
"373",534,4
"374",536,305
"375",537,78
"376",538,51
"377",540,9
"378",543,543
"379",547,16
"380",548,41
"381",550,266
"382",551,73
"383",554,407
"384",555,2264
"385",556,66
"386",557,91
"387",558,5
"388",559,39
"389",561,308
"390",564,10
"391",565,195
"392",566,59
"393",567,26
"394",570,2
"395",572,36
"396",573,98
"397",574,11
"398",576,72
"399",577,36
"400",578,1
"401",579,2031
"402",580,2
"403",581,222
"404",585,3
"405",587,3
"406",588,10
"407",589,359
"408",590,20
"409",591,186
"410",592,114
"411",593,12
"412",594,82
"413",595,188
"414",596,6
"415",598,10
"416",599,2
"417",600,497
"418",603,12
"419",604,2
"420",605,5
"421",608,14
"422",609,90
"423",610,3
"424",612,2757
"425",613,2
"426",615,74
"427",616,6
"428",618,1
"429",620,17
"430",621,8
"431",623,183
"432",624,39
"433",625,37
"434",627,45
"435",628,13
"436",629,71
"437",630,9
"438",631,3129
"439",632,2472
"440",633,161
"441",634,59
"442",636,21
"443",637,7
"444",638,160
"445",639,3
"446",640,458
"447",641,151
"448",642,191
"449",643,1427
"450",644,1255
"451",645,33
"452",646,25
"453",647,6
"454",648,865
"455",649,150
"456",650,73
"457",651,6
"458",652,231
"459",654,292
"460",655,489
"461",657,455
"462",658,1859
"463",659,239
"464",660,11
"465",662,26
"466",663,44
"467",664,53
"468",665,214
"469",667,18
"470",668,129
"471",669,30
"472",671,2
"473",672,20
"474",673,18
"475",674,43
"476",676,16
"477",677,166
"478",678,190
"479",679,469
"480",680,38
"481",681,74
"482",684,21
"483",685,267
"484",686,126
"485",689,2
"486",690,9
"487",691,288
"488",693,9
"489",694,6
"490",695,2
"491",696,27
"492",697,100
"493",700,3
"494",701,25
"495",702,12
"496",703,97
"497",704,71
"498",706,26
"499",707,314
"500",709,425
"501",710,2
