N_Name,Burglary_2,Burglary_3,OBJECTID
Edgewood Bloomingdale Truxton Circle Eckington,12,32,50
Edgewood Bloomingdale Truxton Circle Eckington,27,31,51
Edgewood Bloomingdale Truxton Circle Eckington,27,25,65
Edgewood Bloomingdale Truxton Circle Eckington,20,18,128
Edgewood Bloomingdale Truxton Circle Eckington,15,10,129
Edgewood Bloomingdale Truxton Circle Eckington,12,7,137
Edgewood Bloomingdale Truxton Circle Eckington,10,17,138
Edgewood Bloomingdale Truxton Circle Eckington,18,7,139
Fairfax Village Hillcrest Summit Park,15,16,105
Fairfax Village Hillcrest Summit Park,9,18,106
Friendship Heights AU Park Tenleytown,13,13,15
Friendship Heights AU Park Tenleytown,20,18,17
Georgetown Burleith/Hillandale,14,11,1
Georgetown Burleith/Hillandale,0,1,2
Georgetown Burleith/Hillandale,23,22,3
Georgetown Burleith/Hillandale,9,14,4
Hawthorne Barnaby Woods Chevy Chase,7,7,21
Hawthorne Barnaby Woods Chevy Chase,7,0,22
Hawthorne Barnaby Woods Chevy Chase,6,10,23
Historic Anacostia,9,23,102
Historic Anacostia,8,17,103
Howard University Le Droit Park Cardozo/Shaw,16,22,52
Howard University Le Droit Park Cardozo/Shaw,13,13,63
Howard University Le Droit Park Cardozo/Shaw,33,20,64
Ivy City Arboretum Trinidad Carver Langston,16,28,130
Ivy City Arboretum Trinidad Carver Langston,24,20,131
Ivy City Arboretum Trinidad Carver Langston,16,21,132
Ivy City Arboretum Trinidad Carver Langston,25,49,133
Ivy City Arboretum Trinidad Carver Langston,27,28,134
Kalorama Heights Adams Morgan Lanier Heights,13,6,56
Kalorama Heights Adams Morgan Lanier Heights,15,7,57
Kalorama Heights Adams Morgan Lanier Heights,15,11,58
Kalorama Heights Adams Morgan Lanier Heights,9,8,59
Kalorama Heights Adams Morgan Lanier Heights,8,8,60
Lamond Riggs Fort Totten Pleasant Hill,6,8,143
Lamond Riggs Fort Totten Pleasant Hill,3,6,146
Lamond Riggs Fort Totten Pleasant Hill,3,3,147
Lamond Riggs Fort Totten Pleasant Hill,5,8,148
Mayfair Hillbrook Mahaning Heights,19,33,112
Mayfair Hillbrook Mahaning Heights,4,11,151
N Michigan Park Michigan Park University Heights,5,36,144
N Michigan Park Michigan Park University Heights,17,20,145
N Michigan Park Michigan Park University Heights,1,18,149
Near Southeast Navy Yard,13,22,90
Near Southeast Navy Yard,13,5,91
No Cluster,2,2,37
No Cluster,2,1,80
No Cluster,1,0,92
No Cluster,8,15,177
NoMa Union Station Stanton Park Kingman Park,28,24,118
NoMa Union Station Stanton Park Kingman Park,13,14,119
NoMa Union Station Stanton Park Kingman Park,2,15,120
NoMa Union Station Stanton Park Kingman Park,2,12,121
NoMa Union Station Stanton Park Kingman Park,7,6,122
NoMa Union Station Stanton Park Kingman Park,4,3,123
NoMa Union Station Stanton Park Kingman Park,14,11,124
NoMa Union Station Stanton Park Kingman Park,12,7,125
NoMa Union Station Stanton Park Kingman Park,5,8,126
NoMa Union Station Stanton Park Kingman Park,14,15,127
NoMa Union Station Stanton Park Kingman Park,25,25,174
North Cleveland Park Forest Hills Van Ness,9,11,18
North Cleveland Park Forest Hills Van Ness,1,1,19
North Cleveland Park Forest Hills Van Ness,3,3,20
River Terrace Benning Greenway Fort Dupont,43,37,108
River Terrace Benning Greenway Fort Dupont,29,42,110
River Terrace Benning Greenway Fort Dupont,13,9,152
River Terrace Benning Greenway Fort Dupont,8,9,153
Shaw Logan Circle,16,33,68
Shaw Logan Circle,13,10,69
Shaw Logan Circle,11,18,70
Shaw Logan Circle,11,4,71
Shaw Logan Circle,13,9,72
Shaw Logan Circle,9,1,73
Shaw Logan Circle,37,24,74
Sheridan Barry Farm Buena Vista,12,43,94
Sheridan Barry Farm Buena Vista,20,27,97
Sheridan Barry Farm Buena Vista,13,23,98
Southwest/Waterfront Fort McNair Buzzard Point,7,6,81
Southwest/Waterfront Fort McNair Buzzard Point,3,8,170
Southwest/Waterfront Fort McNair Buzzard Point,4,8,173
Southwest/Waterfront Fort McNair Buzzard Point,2,3,178
Spring Valley Palisades Wesley Heights Foxhall,6,16,11
Spring Valley Palisades Wesley Heights Foxhall,6,1,12
Spring Valley Palisades Wesley Heights Foxhall,7,3,13
Spring Valley Palisades Wesley Heights Foxhall,4,0,14
Takoma Brightwood Manor Park,10,14,25
Takoma Brightwood Manor Park,8,6,26
Takoma Brightwood Manor Park,9,13,27
Takoma Brightwood Manor Park,8,9,28
Takoma Brightwood Manor Park,6,10,29
Takoma Brightwood Manor Park,11,8,171
Twining Fairlawn Fort Davis Park Dupont Park,26,19,104
Twining Fairlawn Fort Davis Park Dupont Park,14,18,107
Twining Fairlawn Fort Davis Park Dupont Park,6,11,111
Twining Fairlawn Fort Davis Park Dupont Park,8,7,162
Twining Fairlawn Fort Davis Park Dupont Park,8,15,163
West End Foggy Bottom GWU,7,20,77
West End Foggy Bottom GWU,10,10,176
Woodland/Fort Stanton Garfield Heights Knox Hill,12,11,99
Woodland/Fort Stanton Garfield Heights Knox Hill,9,24,101
Woodridge Fort Lincoln Gateway,2,5,135
Woodridge Fort Lincoln Gateway,17,40,142
Woodridge Fort Lincoln Gateway,23,49,179
