N_Name,Difference,Burglary_2,Burglary_3,OBJECTID
Spring Valley Palisades Wesley Heights Foxhall,-62.5,6,16,11
Spring Valley Palisades Wesley Heights Foxhall,500,6,1,12
Spring Valley Palisades Wesley Heights Foxhall,133.333,7,3,13
Spring Valley Palisades Wesley Heights Foxhall,100,4,0,14
Takoma Brightwood Manor Park,-28.5714,10,14,25
Takoma Brightwood Manor Park,33.3333,8,6,26
Takoma Brightwood Manor Park,-30.7692,9,13,27
Takoma Brightwood Manor Park,-11.1111,8,9,28
Takoma Brightwood Manor Park,-40,6,10,29
Takoma Brightwood Manor Park,37.5,11,8,171
Twining Fairlawn Fort Davis Park Dupont Park,36.8421,26,19,104
Twining Fairlawn Fort Davis Park Dupont Park,-22.2222,14,18,107
Twining Fairlawn Fort Davis Park Dupont Park,-45.4545,6,11,111
Twining Fairlawn Fort Davis Park Dupont Park,14.2857,8,7,162
Twining Fairlawn Fort Davis Park Dupont Park,-46.6667,8,15,163
West End Foggy Bottom GWU,-65,7,20,77
West End Foggy Bottom GWU,0,10,10,176
Woodland/Fort Stanton Garfield Heights Knox Hill,9.09091,12,11,99
Woodland/Fort Stanton Garfield Heights Knox Hill,-62.5,9,24,101
Woodridge Fort Lincoln Gateway,-60,2,5,135
Woodridge Fort Lincoln Gateway,-57.5,17,40,142
Woodridge Fort Lincoln Gateway,-53.0612,23,49,179
